Watching for file changes with StatReloader
[26/May/2026 09:46:49] "GET /api/posts/ HTTP/1.1" 200 2209
[26/May/2026 09:47:27] "GET /api/projects/ HTTP/1.1" 200 1691
[26/May/2026 09:47:27] "GET /api/posts/?page_size=3&ordering=-created_at HTTP/1.1" 200 2209
[26/May/2026 09:47:28] "GET /api/projects/ HTTP/1.1" 200 1691
[26/May/2026 09:47:28] "GET /api/posts/?page_size=3&ordering=-created_at HTTP/1.1" 200 2209
[26/May/2026 09:48:26] "OPTIONS /api/token/ HTTP/1.1" 200 0
[26/May/2026 09:48:27] "POST /api/token/ HTTP/1.1" 200 483
[26/May/2026 09:48:27] "OPTIONS /api/admin/projects/?page_size=50&ordering=sort_order HTTP/1.1" 200 0
[26/May/2026 09:48:27] "OPTIONS /api/admin/posts/?page_size=50&ordering=-created_at HTTP/1.1" 200 0
[26/May/2026 09:48:27] "OPTIONS /api/admin/posts/?page_size=50&ordering=-created_at HTTP/1.1" 200 0
[26/May/2026 09:48:27] "OPTIONS /api/admin/projects/?page_size=50&ordering=sort_order HTTP/1.1" 200 0
[26/May/2026 09:48:27] "GET /api/admin/projects/?page_size=50&ordering=sort_order HTTP/1.1" 200 1862
[26/May/2026 09:48:27] "GET /api/admin/posts/?page_size=50&ordering=-created_at HTTP/1.1" 200 6514
[26/May/2026 09:48:27] "GET /api/admin/projects/?page_size=50&ordering=sort_order HTTP/1.1" 200 1862
[26/May/2026 09:48:27] "GET /api/admin/posts/?page_size=50&ordering=-created_at HTTP/1.1" 200 6514
[26/May/2026 10:01:01] "OPTIONS /api/admin/posts/7d8ad3d8-2e06-4c3d-b400-2ff3f99e11e5/ HTTP/1.1" 200 0
[26/May/2026 10:01:01] "DELETE /api/admin/posts/7d8ad3d8-2e06-4c3d-b400-2ff3f99e11e5/ HTTP/1.1" 204 0
[26/May/2026 10:01:01] "GET /api/admin/posts/?page_size=50&ordering=-created_at HTTP/1.1" 200 6517
[26/May/2026 10:01:06] "OPTIONS /api/categories/ HTTP/1.1" 200 0
[26/May/2026 10:01:06] "OPTIONS /api/tags/ HTTP/1.1" 200 0
[26/May/2026 10:01:06] "OPTIONS /api/categories/ HTTP/1.1" 200 0
[26/May/2026 10:01:06] "OPTIONS /api/tags/ HTTP/1.1" 200 0
